TF	DF	WORD
11	11	serv
11	11	warn
11	11	advic
11	11	less
11	11	16
11	11	drink
11	11	espn
11	11	lesson
11	11	effici
11	11	northamerica
11	11	ok
11	11	requir
11	11	13
11	11	abl
11	11	minneapolismn
11	11	remind
11	11	austintx
11	11	americanew_york
11	11	de
11	11	spot
11	11	ler
11	11	gadget
11	10	resolut
11	10	copenhagen
11	10	item
11	10	tenni
11	10	associ
11	10	goe
11	10	hike
11	10	hour
11	10	claim
11	10	war
11	10	ride
11	10	cute
11	10	act
11	10	fox
11	10	street
11	10	tshirt
11	10	author
11	10	indian
11	10	minist
11	9	youll
11	9	britain
11	9	devic
11	9	ce
11	9	android
11	9	spain
11	9	obama
11	9	kualalumpur
11	9	romanc
11	9	propos
11	9	getwok
11	9	turquois
11	8	score
11	8	christian
11	8	southafrica
11	8	diabet
11	8	landscap
11	8	donaldtrump
11	8	digitaltransform
11	8	ice
11	8	sugar
11	8	machinelearn
11	8	thailand
11	7	camp
11	7	nepal
11	7	russia
11	6	crafti
10	10	air
10	10	dallastx
10	10	famou
10	10	onlinecompaniontovancouversdailytabloidtheprovincethewebteammanagesourtwitteraccount
10	10	theprovinc
10	10	pic
10	10	purchas
10	10	texasusa
10	10	brought
10	10	dark
10	10	chines
10	10	orangecountyca
10	10	14
10	10	cut
10	10	thecorereloadedprovidesthemostcurrentnewsthatissignificanttothepeopleofcolorbutnotexclusivetopeopleofcolor
10	10	therottenappl
10	10	thecorereload
10	10	leadingwithpass
10	10	facebookleadingwithpassioninspirationleadershippersonaldevelopmentcoachingmentoringfbffifb
10	10	globallylonlinelearth
10	10	potenti
10	10	shock
10	10	categori
10	10	field
10	10	worker
10	10	choos
10	10	ye
10	10	current
10	10	concern
10	10	mp
10	10	classroom
10	10	80
10	10	engag
10	10	lasvegasnv
10	10	among
10	10	founder
10	10	bangkok
10	10	simpl
10	10	finish
10	10	thelatestentertainmentmusicnewsheadlineshighlightsfromcelebritygossiptravelfashionlifestylemoviereviewsreleasesfollowback
10	10	celebstarznew
10	10	soon
10	10	greatest
10	10	westcentralafrica
10	10	resourc
10	10	kick
10	10	piec
10	10	theyr
10	10	newdelhiindia
10	10	rank
10	10	mymaininterestseuremainhousingfinancialmarketspensionsfreedomfairnessienjoypolitelyengagingwithpeopleamnotapartypoliticalanim
10	10	mrpooterfbp
10	10	englandukeurop
10	10	rest
10	10	2nd
10	10	keynot
10	10	congratul
10	10	respons
10	10	careerarc
10	10	investor
10	10	virginia
10	10	limit
10	10	jame
10	10	venu
10	10	edinburgh
10	10	webelieveinyourdream
10	10	abdulrehman
10	10	etatsuni
10	10	stage
10	10	within
10	9	answer
10	9	english
10	9	weekli
10	9	fall
10	9	didnt
10	9	cost
10	9	shirt
10	9	speed
10	9	relationship
10	9	fair
10	9	cycl
10	9	anyth
10	9	opinion
10	9	tokyo
10	9	camera
10	9	ring
10	9	studio
10	9	datasci
10	9	marijuana
10	9	machin
10	9	page
10	9	control
10	9	donald
10	9	norway
10	9	wale
10	9	realiti
10	8	outdoor
10	8	internetofth
10	8	rose
10	8	relax
10	8	congress
10	8	growthhack
10	8	olymp
10	8	tourist
10	8	credit
10	8	address
10	8	bargain
10	8	stem
10	8	campaign
10	8	giveaway
10	8	sanfrancisco
10	8	smallbusi
10	8	extremesport
10	7	budget
10	7	soundcloud
10	7	washington
10	7	detroit
10	7	hongkong
10	7	weather
10	7	boot
10	7	teen
10	7	nrf2018
10	7	dental
10	7	transit
10	7	netflix
10	7	icymi
10	7	musicmonday
10	6	nike
10	6	allergi
10	6	motivationmonday
10	6	chocol
10	6	pupil
10	5	srilanka
10	5	spreaker
10	5	indiegam
10	5	femalewrestl
10	5	engadget
9	9	taipei
9	9	annual
9	9	officialpubliceuropeannetherlandsnetworkroy
9	9	europeseomroep
9	9	fabul
9	9	po
9	9	plant
9	9	thenetherland
9	9	ban
9	9	heal
9	9	survey
9	9	denverco
9	9	return
9	9	extract
9	9	convers
9	9	primari
9	9	polici
9	9	half
9	9	sponsor
9	9	engin
9	9	giant
9	9	colour
9	9	pennsylvaniausa
9	9	eye
9	9	town
9	9	northcarolinausa
9	9	valentin
9	9	tune
9	9	mark
9	9	guest
9	9	shithol
9	9	form
9	9	uniqu
9	9	arriv
9	9	smile
9	9	rang
9	9	ontario
9	9	academi
9	9	ampcraft
9	9	individu
9	9	whole
9	9	decemb
9	9	approach
9	9	charlesfriedofr
9	9	hair
9	9	optim
9	9	process
9	9	concept
9	9	fill
9	9	dj
9	9	hiphopmus
9	9	trailer
9	9	iamyouronestopshopforalltheaffordableartworkyouneedihavealotofstuffavailableandalsodocommissionsmsgme4art
9	9	benjaminerhardt
9	9	na
9	9	civil
9	9	jeremi
9	9	board
9	9	businesswallstcryptocurrenciesandpoliticalnewsthebitcoinbreakdown
9	9	hedgeaccordingli
9	9	tonight
9	9	90
9	9	playoff
9	9	late
9	9	jonspromot
9	9	novatoca
9	9	sometim
9	9	mumbaiindia
9	9	hold
9	9	harass
9	9	aliv
9	9	al
9	9	wrong
9	9	claricelakota
9	9	coloradoladyiowaraisedsouthdakotahomegirlebaystoreown
9	9	leagu
9	9	globalsportscentr
9	9	breakingsportsnewsheadlineshighlightscuratedandlinkedtotopnewssourcesinthenflnhlnbamlbfifavisitusorfollow
9	9	northamericaeurop
9	9	modern
9	9	deadlin
9	9	energi
9	9	master
9	9	imparticipantintheamazonassociatesprogramanaffiliateprogramdesignedtoprovideameansforustoearnfeebylinkingtoamazonandaffiliatedsit
9	9	kingshop
9	9	healthandbeauti
9	9	acollectionofthebesthealthfitnesswellnessandbeautyproductsvisitourwebsiteformorehealthandbeautygoodi
9	9	gather
9	9	confirm
9	9	michigan
9	9	hyderabad
9	9	e
9	9	main
9	9	wrote
9	9	display
9	9	figur
9	8	comic
9	8	origin
9	8	remain
9	8	northcarolina
9	8	histor
9	8	sky
9	8	bill
9	8	hack
9	8	mirror
9	8	airlin
9	8	forest
9	8	breath
9	8	polic
9	8	metal
9	8	lunch
9	8	math
9	8	donat
9	8	pr
9	8	bit
9	8	song
9	8	web
9	8	roll
9	8	progress
9	8	magic
9	8	transact
9	8	beer
9	8	philippin
9	8	profit
9	8	woman
9	8	christma
9	8	legal
