TF	DF	WORD
14	14	rememb
14	14	consum
14	14	far
14	14	paper
14	14	select
14	14	gold
14	14	ladi
14	14	print
14	14	attend
14	14	familytravel
14	14	februari
14	14	relat
14	14	risk
14	14	reveal
14	14	qualiti
14	14	prevent
14	14	mixtap
14	14	laugh
14	14	sector
14	14	hbcu
14	14	quick
14	14	movement
14	14	ident
14	14	diseas
14	14	past
14	14	sell
14	13	advertis
14	13	supplement
14	13	luxuri
14	13	target
14	13	fish
14	13	diy
14	13	babi
14	13	workshop
14	13	florida
14	13	whether
14	13	legaci
14	13	employe
14	13	regist
14	13	phone
14	13	cat
14	13	adult
14	12	shoe
14	12	tweet
14	12	mental
14	12	appl
14	12	tax
14	11	china
14	11	disrupt
14	11	pakistan
14	10	bike
13	13	fast
13	13	moment
13	13	itali
13	13	privat
13	13	nytim
13	13	tool
13	13	enough
13	13	across
13	13	sunday
13	13	athlet
13	13	manchest
13	13	photograph
13	13	incred
13	13	plu
13	13	40
13	13	kind
13	13	prepar
13	13	track
13	13	toronto
13	13	north
13	13	member
13	13	reduc
13	13	kill
13	13	channel
13	13	someon
13	13	level
13	13	onlineshop
13	13	john
13	13	seek
13	13	fantast
13	13	sexual
13	13	biggest
13	13	owner
13	13	intern
13	13	seen
13	13	dure
13	13	staff
13	12	payment
13	12	speak
13	12	execut
13	12	compar
13	12	site
13	12	rate
13	12	account
13	12	name
13	12	softwar
13	12	road
13	12	fintech
13	12	water
13	12	noth
13	12	jon
13	12	cool
13	12	analyt
13	12	ceo
13	12	organis
13	12	hockey
13	12	decor
13	12	expect
13	12	30
13	12	sterl
13	12	sketch
13	11	paul
13	11	exhibit
13	11	earli
13	11	powerpoint
13	8	x
12	12	publish
12	12	mistak
12	12	email
12	12	geek
12	12	2020
12	12	oh
12	12	attack
12	12	p
12	12	common
12	12	senat
12	12	sea
12	12	discount
12	12	affect
12	12	museum
12	12	prize
12	12	accord
12	12	alreadi
12	12	19
12	12	necklac
12	12	ht
12	12	autom
12	12	worri
12	12	interact
12	12	fire
12	12	basket
12	12	wanderlust
12	12	tcot
12	12	add
12	12	huge
12	12	least
12	12	safe
12	12	immigr
12	12	brows
12	12	n
12	12	billion
12	12	profession
12	12	hd
12	12	mymixtapez
12	12	environ
12	12	ive
12	12	actual
12	12	australia
12	12	touch
12	12	island
12	12	co
12	12	explain
12	12	extra
12	12	rule
12	12	minut
12	12	lost
12	12	corpor
12	12	avoid
12	12	enter
12	12	wellb
12	12	achiev
12	11	collabor
12	11	racism
12	11	shape
12	11	choic
12	11	wrestl
12	11	screen
12	11	wow
12	11	chief
12	11	date
12	11	rich
12	11	bowl
12	11	search
12	11	ar
12	10	cook
12	10	pain
12	10	cancer
12	10	l
12	10	samsung
12	10	legend
12	10	sustain
11	11	realiz
11	11	deep
11	11	iiot
11	11	canadian
11	11	gop
11	11	send
11	11	imag
11	11	thestreet
11	11	recip
11	11	construct
11	11	essenti
11	11	room
11	11	drama
11	11	edit
11	11	emerg
11	11	ship
11	11	excel
11	11	god
11	11	mlkday2018
11	11	african
11	11	begin
11	11	tea
11	11	special
11	11	classic
11	11	vision
11	11	comput
11	11	function
11	11	strong
11	11	pack
11	11	glass
11	11	youv
11	11	ces2018
11	11	headlin
11	11	bar
11	11	drop
11	11	vote
11	11	serv
11	11	warn
11	11	advic
11	11	writer
11	11	less
11	11	vegan
11	11	16
11	11	drink
11	11	espn
11	11	lesson
11	11	effici
11	11	hey
11	11	ok
11	11	requir
11	11	13
11	11	abl
11	11	wed
11	11	remind
11	11	de
11	11	spot
11	11	knowledg
11	11	ler
11	11	gadget
11	10	resolut
11	10	led
11	10	item
11	10	wine
11	10	associ
11	10	goe
11	10	influenc
11	10	hour
11	10	saint
